"","sp.sunspots.spec.local_peaks.","X1.sp.sunspots.freq.local_peaks."
"1",94258.732420133,108
"2",38987.1999586096,54
"3",6023.22181086291,40.5
"4",6363.38546159622,27
"5",14626.6325415834,21.6
"6",2612.28883395351,19.0588235294118
"7",4101.56088294141,17.0526315789474
"8",8277.55855385919,14.0869565217391
"9",16813.2926978693,12.96
"10",67429.302494038,12
"11",141405.0299262,11.1724137931034
"12",118892.086003671,10.125
"13",17066.0726236432,8.52631578947368
"14",19931.4686456869,8.1
"15",3251.69093139476,7.2
"16",1227.68299645271,6.8936170212766
"17",965.077977375016,6.61224489795918
"18",335.397049729443,6.23076923076923
"19",1767.42787545908,5.89090909090909
"20",3277.60708422761,5.68421052631579
"21",5557.09449530293,5.49152542372881
"22",643.24363886947,5.31147540983607
"23",880.166824266377,5.14285714285714
"24",575.61170034769,4.98461538461538
"25",1160.83399164345,4.83582089552239
"26",410.67035066741,4.69565217391304
"27",416.525447084834,4.56338028169014
"28",479.91061414624,4.37837837837838
"29",250.843686853372,4.10126582278481
"30",211.717785591251,3.95121951219512
"31",71.2327643734034,3.76744186046512
"32",90.0489380093691,3.64044943820225
"33",94.6676004916667,3.52173913043478
"34",63.597898350303,3.41052631578947
"35",57.46884340033,3.24
"36",41.5146270086233,3.11538461538462
"37",33.643171072171,3.02803738317757
"38",34.5297161125578,2.94545454545455
"39",46.4700413405926,2.8421052631579
"40",36.3582624891375,2.76923076923077
"41",39.9622416243139,2.72268907563025
"42",45.4965729159609,2.63414634146341
"43",36.8381308084182,2.5511811023622
"44",30.6534241956633,2.51162790697674
"45",35.7905486757696,2.45454545454545
"46",28.8543626988375,2.41791044776119
"47",37.8257206004344,2.38235294117647
"48",33.098828800732,2.34782608695652
"49",141.044312448818,2.31428571428571
"50",62.8820988888307,2.23448275862069
"51",65.2982036717272,2.14569536423841
"52",119.039974303013,2.11764705882353
"53",42.7242973360534,2.09032258064516
"54",57.9975218841875,2.06369426751592
"55",109.866351193736,2.0377358490566
"56",31.1866617265543,2.01242236024845
